Datetime,Open,High,Low,Close,Adj Close,Volume
2024-02-23 09:15:00+05:30,9974.9501953125,9974.9501953125,9943.2001953125,9960.849609375,9960.849609375,0
2024-02-23 09:16:00+05:30,9956.2001953125,9960.900390625,9952.099609375,9958.150390625,9958.150390625,974
2024-02-23 09:17:00+05:30,9958.150390625,9989.599609375,9958.099609375,9974.400390625,9974.400390625,1568
2024-02-23 09:18:00+05:30,9974.400390625,9974.9501953125,9967.599609375,9967.650390625,9967.650390625,1668
2024-02-23 09:19:00+05:30,9967.599609375,9975.150390625,9967.5,9975.150390625,9975.150390625,375
2024-02-23 09:20:00+05:30,9971.099609375,9982.400390625,9971.099609375,9981.0,9981.0,789
2024-02-23 09:21:00+05:30,9978.099609375,9978.099609375,9970.099609375,9970.099609375,9970.099609375,429
2024-02-23 09:22:00+05:30,9967.75,9974.9501953125,9963.2998046875,9974.9501953125,9974.9501953125,897
2024-02-23 09:23:00+05:30,9974.7001953125,9976.25,9970.0,9976.25,9976.25,553
2024-02-23 09:24:00+05:30,9974.099609375,9974.150390625,9974.0,9974.150390625,9974.150390625,370
2024-02-23 09:25:00+05:30,9968.400390625,9968.400390625,9964.150390625,9964.150390625,9964.150390625,254
2024-02-23 09:26:00+05:30,9968.2998046875,9968.2998046875,9960.0,9960.0,9960.0,504
2024-02-23 09:27:00+05:30,9962.150390625,9962.150390625,9942.0498046875,9946.0,9946.0,583
2024-02-23 09:28:00+05:30,9946.0,9947.0,9942.849609375,9946.900390625,9946.900390625,771
2024-02-23 09:29:00+05:30,9946.900390625,9950.400390625,9946.349609375,9950.349609375,9950.349609375,574
2024-02-23 09:30:00+05:30,9950.25,9950.25,9940.75,9943.9501953125,9943.9501953125,583
2024-02-23 09:31:00+05:30,9944.0,9944.2001953125,9935.0,9936.5,9936.5,744
2024-02-23 09:32:00+05:30,9936.4501953125,9936.4501953125,9914.349609375,9919.900390625,9919.900390625,1409
2024-02-23 09:33:00+05:30,9917.7001953125,9919.900390625,9915.0,9919.75,9919.75,923
2024-02-23 09:34:00+05:30,9919.900390625,9934.9501953125,9919.7998046875,9934.9501953125,9934.9501953125,640
2024-02-23 09:35:00+05:30,9935.7001953125,9941.75,9933.349609375,9933.849609375,9933.849609375,679
2024-02-23 09:36:00+05:30,9932.9501953125,9950.0,9932.9501953125,9949.599609375,9949.599609375,1157
2024-02-23 09:37:00+05:30,9949.599609375,9949.599609375,9945.150390625,9948.25,9948.25,759
2024-02-23 09:38:00+05:30,9947.5498046875,9948.849609375,9947.5498046875,9947.7998046875,9947.7998046875,259
2024-02-23 09:39:00+05:30,9948.25,9948.25,9945.599609375,9945.599609375,9945.599609375,668
2024-02-23 09:40:00+05:30,9945.900390625,9947.849609375,9942.25,9947.75,9947.75,706
2024-02-23 09:41:00+05:30,9947.75,9948.849609375,9933.7001953125,9933.7998046875,9933.7998046875,864
2024-02-23 09:42:00+05:30,9933.7998046875,9933.7998046875,9925.599609375,9931.9501953125,9931.9501953125,952
2024-02-23 09:43:00+05:30,9931.9501953125,9931.9501953125,9928.4501953125,9929.349609375,9929.349609375,463
2024-02-23 09:44:00+05:30,9929.0,9929.5498046875,9927.0,9927.0,9927.0,376
2024-02-23 09:45:00+05:30,9927.7001953125,9931.9501953125,9927.5498046875,9931.900390625,9931.900390625,476
2024-02-23 09:46:00+05:30,9933.25,9933.25,9928.599609375,9928.900390625,9928.900390625,356
2024-02-23 09:47:00+05:30,9928.900390625,9928.900390625,9926.25,9926.25,9926.25,318
2024-02-23 09:48:00+05:30,9925.599609375,9932.0,9925.599609375,9931.849609375,9931.849609375,757
2024-02-23 09:49:00+05:30,9938.2998046875,9938.2998046875,9934.2998046875,9934.2998046875,9934.2998046875,459
2024-02-23 09:50:00+05:30,9935.099609375,9935.099609375,9933.0,9935.0,9935.0,527
2024-02-23 09:51:00+05:30,9939.7001953125,9951.5,9939.7001953125,9945.0,9945.0,664
2024-02-23 09:52:00+05:30,9947.0,9947.0,9937.0,9937.0,9937.0,455
2024-02-23 09:53:00+05:30,9941.400390625,9941.400390625,9937.849609375,9937.849609375,9937.849609375,602
2024-02-23 09:54:00+05:30,9937.849609375,9940.2001953125,9937.349609375,9937.5,9937.5,255
2024-02-23 09:55:00+05:30,9937.5498046875,9937.5498046875,9935.0,9936.5,9936.5,367
2024-02-23 09:56:00+05:30,9936.5,9936.5,9935.0,9935.5,9935.5,208
2024-02-23 09:57:00+05:30,9935.900390625,9935.900390625,9930.0,9932.25,9932.25,892
2024-02-23 09:58:00+05:30,9930.0,9931.900390625,9930.0,9930.9501953125,9930.9501953125,208
2024-02-23 09:59:00+05:30,9930.900390625,9931.4501953125,9930.599609375,9931.4501953125,9931.4501953125,703
2024-02-23 10:00:00+05:30,9931.4501953125,9931.4501953125,9925.0,9929.0,9929.0,380
2024-02-23 10:01:00+05:30,9926.2998046875,9928.650390625,9926.2998046875,9928.5,9928.5,426
2024-02-23 10:02:00+05:30,9927.0,9928.400390625,9920.2998046875,9920.2998046875,9920.2998046875,420
2024-02-23 10:03:00+05:30,9920.0,9927.650390625,9920.0,9927.650390625,9927.650390625,854
2024-02-23 10:04:00+05:30,9928.75,9929.75,9927.650390625,9928.349609375,9928.349609375,321
2024-02-23 10:05:00+05:30,9927.900390625,9927.900390625,9921.650390625,9922.5,9922.5,495
2024-02-23 10:06:00+05:30,9923.849609375,9923.849609375,9922.5498046875,9922.5498046875,9922.5498046875,346
2024-02-23 10:07:00+05:30,9922.5498046875,9934.900390625,9922.2001953125,9934.650390625,9934.650390625,842
2024-02-23 10:08:00+05:30,9934.75,9934.75,9931.349609375,9931.75,9931.75,209
2024-02-23 10:09:00+05:30,9931.75,9933.25,9931.75,9933.150390625,9933.150390625,460
2024-02-23 10:10:00+05:30,9933.099609375,9933.5,9929.75,9931.150390625,9931.150390625,1104
2024-02-23 10:11:00+05:30,9931.099609375,9931.099609375,9929.150390625,9929.150390625,9929.150390625,185
2024-02-23 10:12:00+05:30,9929.150390625,9929.150390625,9925.0,9925.0,9925.0,322
2024-02-23 10:13:00+05:30,9925.099609375,9925.099609375,9924.349609375,9924.599609375,9924.599609375,355
2024-02-23 10:14:00+05:30,9924.349609375,9924.5498046875,9924.2998046875,9924.2998046875,9924.2998046875,390
2024-02-23 10:15:00+05:30,9924.349609375,9924.349609375,9921.0,9921.0,9921.0,420
2024-02-23 10:16:00+05:30,9921.0,9923.5498046875,9921.0,9923.349609375,9923.349609375,783
2024-02-23 10:17:00+05:30,9923.25,9924.0,9922.599609375,9924.0,9924.0,253
2024-02-23 10:18:00+05:30,9922.849609375,9923.900390625,9920.849609375,9920.849609375,9920.849609375,336
2024-02-23 10:19:00+05:30,9920.849609375,9920.849609375,9920.2001953125,9920.349609375,9920.349609375,230
2024-02-23 10:20:00+05:30,9920.2001953125,9920.400390625,9911.25,9911.25,9911.25,1053
2024-02-23 10:21:00+05:30,9915.0,9915.0,9907.0,9908.7001953125,9908.7001953125,712
2024-02-23 10:22:00+05:30,9907.25,9908.7998046875,9907.0,9907.0498046875,9907.0498046875,321
2024-02-23 10:23:00+05:30,9907.0498046875,9907.0498046875,9900.2001953125,9902.900390625,9902.900390625,1359
2024-02-23 10:24:00+05:30,9902.849609375,9902.849609375,9894.0498046875,9897.599609375,9897.599609375,1622
2024-02-23 10:25:00+05:30,9897.599609375,9900.0,9895.0,9899.9501953125,9899.9501953125,382
2024-02-23 10:26:00+05:30,9899.9501953125,9908.400390625,9899.9501953125,9902.400390625,9902.400390625,637
2024-02-23 10:27:00+05:30,9902.400390625,9911.5,9900.0,9907.900390625,9907.900390625,4078
2024-02-23 10:28:00+05:30,9907.900390625,9909.349609375,9907.5,9909.25,9909.25,416
2024-02-23 10:29:00+05:30,9910.0,9916.150390625,9910.0,9916.150390625,9916.150390625,805
2024-02-23 10:30:00+05:30,9914.099609375,9919.5498046875,9913.5498046875,9915.099609375,9915.099609375,748
2024-02-23 10:31:00+05:30,9912.5,9915.0,9911.849609375,9911.9501953125,9911.9501953125,268
2024-02-23 10:32:00+05:30,9911.9501953125,9917.0,9910.599609375,9916.849609375,9916.849609375,1905
2024-02-23 10:33:00+05:30,9916.0,9916.75,9913.349609375,9913.5,9913.5,376
2024-02-23 10:34:00+05:30,9913.4501953125,9914.9501953125,9913.0498046875,9914.400390625,9914.400390625,473
2024-02-23 10:35:00+05:30,9914.349609375,9915.0,9912.0,9912.0,9912.0,348
2024-02-23 10:36:00+05:30,9913.0498046875,9913.0498046875,9912.0,9912.0,9912.0,669
