Datetime,Open,High,Low,Close,Adj Close,Volume
2024-02-23 09:15:00+05:30,4116.9501953125,4116.9501953125,4099.0,4102.4501953125,4102.4501953125,0
2024-02-23 09:16:00+05:30,4106.89990234375,4109.5498046875,4105.0,4106.0,4106.0,460917
2024-02-23 09:17:00+05:30,4106.75,4106.75,4100.0,4101.9501953125,4101.9501953125,15900
2024-02-23 09:18:00+05:30,4101.89990234375,4105.0498046875,4097.25,4103.75,4103.75,12853
2024-02-23 09:19:00+05:30,4103.7998046875,4111.35009765625,4103.7998046875,4109.85009765625,4109.85009765625,13577
2024-02-23 09:20:00+05:30,4109.85009765625,4109.85009765625,4104.14990234375,4106.85009765625,4106.85009765625,8157
2024-02-23 09:21:00+05:30,4106.85009765625,4106.85009765625,4103.0498046875,4103.10009765625,4103.10009765625,5409
2024-02-23 09:22:00+05:30,4103.14990234375,4103.64990234375,4102.0,4102.35009765625,4102.35009765625,5517
2024-02-23 09:23:00+05:30,4102.39990234375,4102.75,4102.2001953125,4102.75,4102.75,5106
2024-02-23 09:24:00+05:30,4102.7998046875,4104.5498046875,4095.14990234375,4095.39990234375,4095.39990234375,13418
2024-02-23 09:25:00+05:30,4095.10009765625,4096.0,4093.0,4093.050048828125,4093.050048828125,10132
2024-02-23 09:26:00+05:30,4093.0,4100.60009765625,4093.0,4098.60009765625,4098.60009765625,11989
2024-02-23 09:27:00+05:30,4098.60009765625,4100.0,4094.0,4095.800048828125,4095.800048828125,6342
2024-02-23 09:28:00+05:30,4095.60009765625,4099.2001953125,4095.050048828125,4098.7001953125,4098.7001953125,5234
2024-02-23 09:29:00+05:30,4098.64990234375,4100.2001953125,4098.0498046875,4099.35009765625,4099.35009765625,4251
2024-02-23 09:30:00+05:30,4099.64990234375,4100.2001953125,4099.2998046875,4100.0,4100.0,3666
2024-02-23 09:31:00+05:30,4099.9501953125,4101.0,4099.5,4099.5,4099.5,7294
2024-02-23 09:32:00+05:30,4099.5498046875,4101.0,4097.0,4101.0,4101.0,3777
2024-02-23 09:33:00+05:30,4101.0,4101.0,4098.64990234375,4099.89990234375,4099.89990234375,4763
2024-02-23 09:34:00+05:30,4099.89990234375,4102.4501953125,4099.5498046875,4101.9501953125,4101.9501953125,5064
2024-02-23 09:35:00+05:30,4101.75,4102.7998046875,4101.7001953125,4101.75,4101.75,6948
2024-02-23 09:36:00+05:30,4101.14990234375,4105.85009765625,4101.14990234375,4105.2001953125,4105.2001953125,9664
2024-02-23 09:37:00+05:30,4105.2001953125,4107.5498046875,4104.4501953125,4104.5,4104.5,6253
