Datetime,Open,High,Low,Close,Adj Close,Volume
2024-02-23 09:15:00+05:30,577.0,577.75,575.7999877929688,576.3499755859375,576.3499755859375,0
2024-02-23 09:16:00+05:30,576.3499755859375,577.2000122070312,576.0499877929688,576.9500122070312,576.9500122070312,15316
2024-02-23 09:17:00+05:30,576.75,577.25,576.4000244140625,576.5999755859375,576.5999755859375,9942
2024-02-23 09:18:00+05:30,576.9500122070312,577.6500244140625,576.75,577.4000244140625,577.4000244140625,22262
2024-02-23 09:19:00+05:30,577.2000122070312,578.2000122070312,577.2000122070312,578.0999755859375,578.0999755859375,6831
2024-02-23 09:20:00+05:30,578.0999755859375,578.5999755859375,578.0,578.5999755859375,578.5999755859375,9899
2024-02-23 09:21:00+05:30,578.2999877929688,578.75,578.2999877929688,578.5999755859375,578.5999755859375,4610
2024-02-23 09:22:00+05:30,578.6500244140625,579.5999755859375,578.5999755859375,579.2000122070312,579.2000122070312,10656
2024-02-23 09:23:00+05:30,579.0,580.0499877929688,579.0,579.9500122070312,579.9500122070312,23939
2024-02-23 09:24:00+05:30,579.7000122070312,580.2999877929688,579.7000122070312,579.7999877929688,579.7999877929688,12322
2024-02-23 09:25:00+05:30,579.7999877929688,580.0,579.5499877929688,579.9500122070312,579.9500122070312,3482
2024-02-23 09:26:00+05:30,580.0,580.0,579.75,579.9500122070312,579.9500122070312,6578
2024-02-23 09:27:00+05:30,579.5,579.5,579.0499877929688,579.25,579.25,4968
2024-02-23 09:28:00+05:30,579.2000122070312,579.25,579.0,579.1500244140625,579.1500244140625,5514
2024-02-23 09:29:00+05:30,579.0,579.25,578.7000122070312,579.2000122070312,579.2000122070312,6697
2024-02-23 09:30:00+05:30,579.0,579.5499877929688,579.0,579.5499877929688,579.5499877929688,5975
2024-02-23 09:31:00+05:30,579.7000122070312,580.0,579.5999755859375,579.5999755859375,579.5999755859375,6167
