Datetime,Open,High,Low,Close,Adj Close,Volume
2024-02-23 09:15:00+05:30,8509.849609375,8509.849609375,8483.0498046875,8493.0498046875,8493.0498046875,0
2024-02-23 09:16:00+05:30,8502.150390625,8507.650390625,8488.9501953125,8507.650390625,8507.650390625,4783
2024-02-23 09:17:00+05:30,8507.5498046875,8530.2998046875,8495.75,8497.900390625,8497.900390625,8222
2024-02-23 09:18:00+05:30,8494.4501953125,8498.849609375,8477.5,8498.849609375,8498.849609375,5039
2024-02-23 09:19:00+05:30,8498.7998046875,8507.150390625,8488.0,8506.099609375,8506.099609375,4030
2024-02-23 09:20:00+05:30,8506.400390625,8519.75,8502.9501953125,8511.650390625,8511.650390625,5009
2024-02-23 09:21:00+05:30,8510.2001953125,8510.5498046875,8490.7001953125,8505.9501953125,8505.9501953125,2500
2024-02-23 09:22:00+05:30,8509.25,8520.0,8506.0498046875,8514.4501953125,8514.4501953125,2463
2024-02-23 09:23:00+05:30,8513.0,8514.599609375,8508.0,8509.349609375,8509.349609375,1623
2024-02-23 09:24:00+05:30,8508.25,8513.849609375,8505.7001953125,8505.900390625,8505.900390625,949
2024-02-23 09:25:00+05:30,8505.0,8513.099609375,8501.75,8505.0,8505.0,1490
2024-02-23 09:26:00+05:30,8503.0498046875,8505.650390625,8494.2998046875,8505.650390625,8505.650390625,1344
2024-02-23 09:27:00+05:30,8505.650390625,8513.099609375,8502.150390625,8512.0,8512.0,2094
2024-02-23 09:28:00+05:30,8506.900390625,8512.5498046875,8501.25,8504.2001953125,8504.2001953125,1691
2024-02-23 09:29:00+05:30,8503.0498046875,8503.849609375,8485.0498046875,8490.0,8490.0,4879
2024-02-23 09:30:00+05:30,8490.0,8504.5,8477.400390625,8482.2001953125,8482.2001953125,5015
2024-02-23 09:31:00+05:30,8482.2001953125,8484.400390625,8460.0,8467.5498046875,8467.5498046875,3878
2024-02-23 09:32:00+05:30,8462.0,8474.849609375,8462.0,8466.150390625,8466.150390625,3696
2024-02-23 09:33:00+05:30,8470.0,8470.0,8456.0,8461.9501953125,8461.9501953125,2491
2024-02-23 09:34:00+05:30,8462.900390625,8465.0,8455.0,8465.0,8465.0,3369
2024-02-23 09:35:00+05:30,8461.7001953125,8465.0,8451.5498046875,8460.349609375,8460.349609375,2071
2024-02-23 09:36:00+05:30,8457.0,8464.0,8456.0,8457.7001953125,8457.7001953125,1115
2024-02-23 09:37:00+05:30,8461.5498046875,8462.5498046875,8457.2998046875,8457.2998046875,8457.2998046875,924
2024-02-23 09:38:00+05:30,8457.2998046875,8460.0498046875,8444.2001953125,8450.2001953125,8450.2001953125,2676
2024-02-23 09:39:00+05:30,8450.25,8464.0,8450.2001953125,8460.349609375,8460.349609375,806
2024-02-23 09:40:00+05:30,8460.2998046875,8464.599609375,8455.0498046875,8455.0498046875,8455.0498046875,2247
2024-02-23 09:41:00+05:30,8457.2998046875,8468.400390625,8456.099609375,8468.0,8468.0,968
2024-02-23 09:42:00+05:30,8468.0,8486.7998046875,8468.0,8484.7001953125,8484.7001953125,1755
2024-02-23 09:43:00+05:30,8484.7001953125,8497.2998046875,8484.7001953125,8489.650390625,8489.650390625,2774
2024-02-23 09:44:00+05:30,8487.849609375,8487.849609375,8473.150390625,8473.150390625,8473.150390625,724
2024-02-23 09:45:00+05:30,8475.849609375,8475.849609375,8468.2001953125,8471.9501953125,8471.9501953125,722
